App Name,Hours,Minutes,Seconds
msedge.exe,2,9,56
firefox.exe,1,30,56
Code.exe,0,35,52
explorer.exe,0,3,52
java.exe,0,2,38
ms-teams.exe,0,0,3
DriverBooster.exe,0,0,2
LockApp.exe,0,0,2
